,0,1,2
0,deep,full,0.08607090136575907
1,deep,full,0.25443013698135575
2,deep,full,0.3069769966910526
3,deep,full,0.06717015482163369
4,deep,full,0.3238850752981801
5,deep,pca,0.26903999224730035
6,deep,pca,0.05566404900200253
7,deep,pca,0.17805175836296855
8,deep,pca,0.32577926544487573
9,deep,pca,0.309284847490698
10,deep,reduced,0.3189411558168324
11,deep,reduced,0.05249397025532624
12,deep,reduced,0.008580547418623822
13,deep,reduced,0.2174716042763169
14,deep,reduced,0.29254738096994126
15,moderate,full,0.4402566734342875
16,moderate,full,0.22833364507910758
17,moderate,full,0.3774320053428919
18,moderate,full,0.4136615112358125
19,moderate,full,0.419228259538217
20,moderate,pca,0.4032348552848015
21,moderate,pca,0.38267482533646513
22,moderate,pca,0.4178812647242504
23,moderate,pca,0.45040576867135584
24,moderate,pca,0.27909928613892426
25,moderate,reduced,0.2653350974662775
26,moderate,reduced,0.4037368127930362
27,moderate,reduced,0.3318268865645996
28,moderate,reduced,0.4207358975166864
29,moderate,reduced,0.3764302629966836
30,shallow,full,0.4452748068796821
31,shallow,full,0.48978264493658935
32,shallow,full,0.38153369982519436
33,shallow,full,0.4970600339720046
34,shallow,full,0.47636979121262013
35,shallow,pca,0.4719814817804588
36,shallow,pca,0.48945009574563253
37,shallow,pca,0.3514221211478764
38,shallow,pca,0.5243334828333477
39,shallow,pca,0.36638585807149165
40,shallow,reduced,0.27192192358198036
41,shallow,reduced,0.3690909409244566
42,shallow,reduced,0.3753864881447466
43,shallow,reduced,0.3774755083810371
44,shallow,reduced,0.4768348292512731
